name,bounding_box,landmarks
Unknown,"(160, 121, 376, 391)","(226, 327); (279, 234); (316, 233); (231, 293); (342, 340)"
Unknown,"(160, 122, 377, 394)","(229, 329); (279, 236); (316, 235); (236, 294); (345, 346)"
Unknown,"(163, 131, 373, 390)","(230, 326); (279, 236); (312, 240); (240, 299); (347, 347)"
Unknown,"(170, 148, 371, 401)","(242, 335); (304, 259); (334, 242); (238, 296); (349, 345)"
Unknown,"(163, 136, 368, 398)","(230, 329); (293, 248); (325, 242); (236, 297); (355, 349)"
Unknown,"(156, 135, 362, 390)","(226, 321); (282, 242); (317, 241); (233, 295); (349, 342)"
Unknown,"(168, 150, 361, 384)","(232, 321); (287, 248); (321, 241); (233, 289); (340, 334)"
Unknown,"(164, 150, 359, 393)","(228, 321); (286, 247); (319, 242); (234, 294); (347, 340)"
Unknown,"(154, 121, 365, 380)","(224, 319); (276, 237); (312, 229); (222, 284); (335, 330)"
Unknown,"(159, 132, 354, 382)","(222, 315); (273, 231); (304, 227); (226, 280); (332, 332)"
Unknown,"(161, 132, 355, 383)","(225, 318); (276, 234); (307, 226); (226, 277); (330, 330)"
Unknown,"(164, 130, 360, 376)","(226, 317); (271, 232); (306, 224); (224, 272); (325, 325)"
Unknown,"(163, 128, 359, 378)","(226, 317); (273, 234); (309, 224); (224, 274); (326, 326)"
Unknown,"(170, 136, 353, 365)","(230, 318); (277, 237); (306, 223); (224, 271); (321, 322)"
Unknown,"(180, 130, 367, 369)","(250, 334); (306, 256); (328, 218); (218, 267); (315, 314)"
Unknown,"(192, 133, 388, 392)","(290, 367); (359, 297); (362, 228); (229, 280); (331, 331)"
Unknown,"(200, 150, 384, 380)","(267, 354); (324, 278); (347, 241); (241, 293); (334, 334)"
Unknown,"(211, 140, 396, 374)","(276, 363); (333, 287); (359, 232); (230, 283); (326, 324)"
Unknown,"(196, 129, 396, 376)","(260, 352); (311, 262); (340, 231); (232, 290); (332, 334)"
Unknown,"(194, 144, 374, 371)","(253, 339); (300, 254); (328, 230); (231, 282); (322, 325)"
Unknown,"(202, 147, 365, 352)","(256, 334); (299, 259); (324, 226); (227, 270); (310, 313)"
Unknown,"(202, 148, 364, 348)","(255, 331); (297, 258); (322, 227); (227, 270); (308, 310)"
Unknown,"(200, 153, 354, 349)","(251, 325); (293, 255); (317, 230); (230, 270); (309, 311)"
Unknown,"(196, 150, 356, 347)","(248, 322); (290, 253); (316, 227); (226, 269); (308, 308)"
Unknown,"(196, 151, 356, 344)","(246, 322); (288, 253); (316, 230); (226, 272); (312, 310)"
Unknown,"(192, 140, 365, 350)","(246, 326); (288, 249); (316, 228); (229, 271); (313, 315)"
