name,bounding_box,landmarks
Unknown,"(189, 176, 344, 363)","(233, 306); (271, 242); (303, 251); (248, 289); (327, 325)"
Unknown,"(186, 173, 349, 376)","(233, 310); (272, 241); (306, 252); (249, 295); (336, 334)"
Unknown,"(191, 175, 360, 386)","(240, 319); (281, 251); (314, 257); (253, 299); (345, 342)"
Unknown,"(199, 179, 372, 398)","(250, 331); (292, 258); (325, 259); (257, 305); (352, 350)"
Unknown,"(199, 167, 395, 415)","(259, 349); (306, 270); (340, 261); (259, 311); (364, 362)"
Unknown,"(216, 164, 406, 406)","(275, 363); (318, 281); (350, 252); (254, 307); (358, 358)"
Unknown,"(221, 157, 412, 397)","(281, 368); (324, 286); (354, 245); (249, 300); (347, 349)"
Unknown,"(228, 164, 401, 378)","(282, 362); (321, 284); (351, 239); (244, 288); (330, 334)"
Unknown,"(229, 170, 389, 362)","(274, 348); (307, 274); (340, 242); (245, 283); (317, 321)"
Unknown,"(231, 176, 385, 358)","(273, 344); (303, 275); (336, 249); (251, 291); (321, 323)"
Unknown,"(245, 183, 390, 361)","(283, 351); (311, 285); (344, 250); (251, 290); (321, 324)"
Unknown,"(260, 175, 400, 354)","(299, 365); (326, 298); (355, 242); (246, 283); (316, 319)"
Unknown,"(265, 178, 403, 352)","(306, 371); (334, 304); (360, 242); (246, 282); (315, 319)"
Unknown,"(253, 189, 396, 369)","(296, 363); (327, 296); (354, 255); (259, 297); (330, 333)"
Unknown,"(230, 199, 393, 398)","(278, 355); (315, 283); (348, 276); (277, 321); (359, 360)"
Unknown,"(202, 169, 424, 443)","(253, 356); (290, 257); (345, 272); (275, 340); (386, 389)"
Unknown,"(185, 71, 473, 427)","(246, 377); (293, 263); (370, 209); (205, 289); (354, 352)"
Unknown,"(205, 35, 456, 341)","(269, 385); (317, 278); (372, 150); (150, 224); (282, 282)"
Unknown,"(191, 145, 385, 385)","(245, 336); (286, 251); (326, 239); (240, 293); (339, 340)"
Unknown,"(201, 189, 361, 382)","(247, 321); (282, 250); (311, 263); (266, 306); (342, 346)"
Unknown,"(209, 195, 349, 364)","(248, 313); (278, 252); (307, 261); (261, 295); (330, 331)"
Unknown,"(212, 186, 355, 360)","(251, 317); (280, 254); (310, 254); (255, 290); (324, 325)"
Unknown,"(215, 182, 359, 358)","(253, 320); (282, 255); (313, 249); (251, 287); (321, 323)"
Unknown,"(215, 183, 360, 362)","(253, 321); (283, 257); (314, 248); (250, 291); (326, 328)"
Unknown,"(210, 179, 362, 363)","(250, 321); (281, 252); (312, 251); (253, 293); (326, 329)"
Unknown,"(203, 179, 358, 366)","(242, 314); (273, 246); (305, 252); (254, 295); (328, 330)"
Unknown,"(197, 182, 354, 372)","(239, 310); (270, 241); (302, 253); (256, 298); (330, 333)"
Unknown,"(199, 186, 355, 373)","(238, 311); (269, 242); (301, 257); (261, 304); (335, 338)"
